site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xBL,2020,15,0,-78.0716,39.0603,7.417,-9999,0.62,2.222,7.059,0.478552,1.44216,0,""
US-xBL,2020,15,1,-78.0716,39.0603,6.914,-9999,0.7175,2.2245,7.0465,0.478552,1.41247,0,x
US-xBL,2020,15,2,-78.0716,39.0603,6.3135,-9999,0.5325,2.2295,6.96,0.478552,1.377075,0,""
US-xBL,2020,15,3,-78.0716,39.0603,5.816,-9999,0.505,2.2315,6.8605,0.478552,1.347835,0,x
US-xBL,2020,15,4,-78.0716,39.0603,5.271,-9999,0.595,2.2315,6.7265,0.478552,1.31588,0,""
US-xBL,2020,15,5,-78.0716,39.0603,5.1885,-9999,0.5375,2.2325,6.623,0.478552,1.311055,0,x
US-xBL,2020,15,6,-78.0716,39.0603,4.8405,-9999,0.43,2.232,6.55,0.478552,1.29071,0,""
US-xBL,2020,15,7,-78.0716,39.0603,4.351,-9999,5.4075,2.2225,6.442,0.478552,1.262165,0,x
US-xBL,2020,15,8,-78.0716,39.0603,4.338,-9999,37.85,2.028,6.382,0.480375,1.26141,0.781033,x
US-xBL,2020,15,11,-78.0716,39.0603,8.778,88.01,524.175,1.356,8.043,1.21818,1.52278,0.304602,x
US-xBL,2020,15,12,-78.0716,39.0603,11.28,67.24,531,4.382,9.038,1.21818,1.67163,0.453447,x
US-xBL,2020,15,17,-78.0716,39.0603,11.53,67.775,1.69,4.3835,8.3765,0.478552,1.686525,0,x
US-xBL,2020,15,18,-78.0716,39.0603,11.4985,71.015,0,3.9345,8.2135,0.478552,1.684645,0,""
US-xBL,2020,15,19,-78.0716,39.0603,10.9745,73,0,3.5395,8.018,0.478552,1.653425,0,""
US-xBL,2020,15,20,-78.0716,39.0603,10.494,74.8,0,3.1995,7.7755,0.478552,1.62481,0,x
US-xBL,2020,15,21,-78.0716,39.0603,10.285,75.695,0,3.0435,7.516,0.478552,1.61237,0,""
US-xBL,2020,15,22,-78.0716,39.0603,10.1045,76.705,0,2.8825,7.202,0.478552,1.601625,0,x
US-xBL,2020,15,23,-78.0716,39.0603,9.16,81.31,0,2.1765,6.675,0.478552,1.545475,0,x
US-xBL,2020,16,0,-78.0716,39.0603,8.629,82.86,0,1.92,6.144,0.478552,1.51394,0,x
US-xBL,2020,16,1,-78.0716,39.0603,9.267,75.97,0,2.812,5.9545,0.478552,1.55182,0,""
US-xBL,2020,16,2,-78.0716,39.0603,8.831,78.185,0,2.478,5.7595,0.478552,1.525935,0,""
US-xBL,2020,16,3,-78.0716,39.0603,9.055,78.885,0,2.4335,5.6265,0.478552,1.53923,0,x
US-xBL,2020,16,4,-78.0716,39.0603,12.9445,55.375,0,6.6495,5.9125,0.478552,1.77084,0,""
US-xBL,2020,16,5,-78.0716,39.0603,12.2325,51.4,0,6.9235,6.2555,0.478552,1.7284,0,x
US-xBL,2020,16,6,-78.0716,39.0603,11.9655,48.1,0,7.264,6.4395,0.478552,1.712485,0,""
US-xBL,2020,16,7,-78.0716,39.0603,10.7295,49.47,9.095,6.514,6.5705,0.478552,1.63884,0,""
US-xBL,2020,16,10,-78.0716,39.0603,9.2535,44.415,428.6675,6.4935,7.2695,0.48481,1.551015,1.066208,""
US-xBL,2020,16,11,-78.0716,39.0603,8.5235,39.885,532.72,6.6845,7.8315,1.21818,1.507685,0.289503,""
US-xBL,2020,16,12,-78.0716,39.0603,8.608,36.35,572.55,7.1195,8.247,2.667895,1.512695,0,x
US-xBL,2020,16,13,-78.0716,39.0603,8.649,35.985,476.67,7.18,8.228,0.7916345,1.51513,0.723493,""
US-xBL,2020,16,14,-78.0716,39.0603,8.345,36.48,456.95,6.978,8.034,0.570889,1.4971,0.926208,""
US-xBL,2020,16,22,-78.0716,39.0603,1.03,45.7,0,3.575,4.66,0.478552,1.07125,0,""
US-xBL,2020,16,23,-78.0716,39.0603,0.924,44.38,0,3.6335,4.605,0.478552,1.06525,0,x
US-xBL,2020,17,0,-78.0716,39.0603,0.47,41.605,0,3.692,4.5005,0.478552,1.03963,0,x
US-xBL,2020,17,1,-78.0716,39.0603,-0.0235,42.57,0,3.5035,4.321,0.478552,1.01193,0,""
US-xBL,2020,17,2,-78.0716,39.0603,-0.21,44.89,0,3.316,4.15,0.478552,1.0014965,0,x
US-xBL,2020,17,3,-78.0716,39.0603,-0.412,48.14,0,3.076,4.181,0.478552,0.99023,0,x
US-xBL,2020,17,4,-78.0716,39.0603,-1.2835,53.945,0,2.561,4.0265,0.478552,0.941947,0,""
US-xBL,2020,17,5,-78.0716,39.0603,-1.658,48.87,0,2.7665,3.75,0.478552,0.92137,0,""
US-xBL,2020,17,6,-78.0716,39.0603,-1.9985,48.115,0,2.738,3.5655,0.478552,0.902758,0,""
US-xBL,2020,17,7,-78.0716,39.0603,-2.228,49.06,0,2.643,3.413,0.478552,0.890264,0,x
US-xBL,2020,17,8,-78.0716,39.0603,-2.155,51.26,146.995,2.5435,3.265,0.8922135,0.894251,0.00470805,x
US-xBL,2020,17,9,-78.0716,39.0603,-1.56,45.04,369.545,2.995,3.618,1.4024,0.92674,0,""
US-xBL,2020,17,10,-78.0716,39.0603,-1.0525,43.41,465.455,3.203,4.014,0.8945345,0.9547025,0.185953,""
US-xBL,2020,17,11,-78.0716,39.0603,-0.35,40.695,549.1975,3.5325,4.581,1.698905,0.993693,0,x
US-xBL,2020,17,12,-78.0716,39.0603,0.468,38.15,529.565,3.91,5.42,1.21818,1.039515,0,x
US-xBL,2020,17,13,-78.0716,39.0603,0.67,36.85,490.165,4.051,5.91,1.01238,1.0509,0.0385188,x
US-xBL,2020,17,14,-78.0716,39.0603,0.885,36.6,367.585,4.131,5.531,1.4024,1.06304,0,x
US-xBL,2020,17,15,-78.0716,39.0603,0.849,35.44,248.695,4.195,5.129,1.372275,1.06101,0,""
US-xBL,2020,17,16,-78.0716,39.0603,0.175,37.22,79.61,3.8865,4.733,2.0762125,1.02306,0.265452,x
US-xBL,2020,17,17,-78.0716,39.0603,-0.9055,41.17,1.8825,3.3655,4.1,0.478552,0.962825,0,""
US-xBL,2020,17,18,-78.0716,39.0603,-1.9345,45.295,0,2.9015,3.3655,0.478552,0.906271,0,""
US-xBL,2020,17,19,-78.0716,39.0603,-2.7185,48.07,0,2.5975,2.91,0.478552,0.863719,0,""
US-xBL,2020,17,20,-78.0716,39.0603,-3.172,50.105,0,2.4125,2.5345,0.478552,0.839363,0,""
US-xBL,2020,17,21,-78.0716,39.0603,-4.5775,59.27,0,1.7815,2.205,2.03719,0.765283,0,x
US-xBL,2020,17,22,-78.0716,39.0603,-4.9885,65.365,0,1.461,2.1305,2.03719,0.743773,0,x
US-xBL,2020,17,23,-78.0716,39.0603,-4.557,64.23,0.04,1.5585,2.282,2.03719,0.7661665,0,""
US-xBL,2020,18,0,-78.0716,39.0603,-4.3765,68.89,0,1.374,2.421,2.03719,0.7755985,0,x
US-xBL,2020,18,1,-78.0716,39.0603,-3.6675,61.925,0.0325,1.7745,2.471,2.03719,0.81297,0,""
US-xBL,2020,18,2,-78.0716,39.0603,-2.839,55.185,0,2.222,2.4485,0.478552,0.8572315,0,x
US-xBL,2020,18,3,-78.0716,39.0603,-2.8645,57.865,0.415,2.0845,2.4265,0.478552,0.8558585,0,x
US-xBL,2020,18,4,-78.0716,39.0603,-1.9905,51.835,0.36,2.543,2.542,0.478552,0.903191,0,x
US-xBL,2020,18,5,-78.0716,39.0603,-3.863,83.79,0.03,0.745,2.5515,2.03719,0.8026125,0,x
US-xBL,2020,18,6,-78.0716,39.0603,-3.655,79.77,0.0575,0.944,2.483,2.03719,0.8136335,0,x
US-xBL,2020,18,7,-78.0716,39.0603,-3.1555,74.27,3.1625,1.2465,2.48,0.478552,0.840253,0,""
US-xBL,2020,18,8,-78.0716,39.0603,-2.601,71.025,25.0375,1.4625,2.528,1.438651,0.8700625,0.1926495,""
US-xBL,2020,18,9,-78.0716,39.0603,-2.2155,68.075,46.225,1.6575,2.63,0.480375,0.8909445,0.4105695,x
US-xBL,2020,18,10,-78.0716,39.0603,-1.5895,65.005,55.6475,1.9025,2.753,2.6651725,0.925125,0.219564,""
US-xBL,2020,18,11,-78.0716,39.0603,-1.478,74.96,55.9175,1.373,2.8495,0.480375,0.9312415,0.4508665,x
US-xBL,2020,18,12,-78.0716,39.0603,-1.429,75.5,85.535,1.348,2.892,4.84997,0.933934,0,""
US-xBL,2020,18,13,-78.0716,39.0603,-0.695,72.54,73.895,1.5945,2.955,4.84997,0.974489,0,x
US-xBL,2020,18,14,-78.0716,39.0603,-0.291,72.35,38.095,1.654,2.977,0.480375,0.996972,0.516597,""
US-xBL,2020,18,15,-78.0716,39.0603,-0.335,91.5,12.595,0.507,2.854,0.478552,0.994518,0.515966,""
US-xBL,2020,18,16,-78.0716,39.0603,-0.189,92.905,8.915,0.428,2.7865,0.478552,1.0026675,0.5241165,x
US-xBL,2020,18,17,-78.0716,39.0603,0.039,92.665,0.9625,0.449,2.83,0.478552,1.015425,0,x
US-xBL,2020,18,18,-78.0716,39.0603,0.713,93.14,0,0.441,2.877,0.478552,1.05333,0,""
US-xBL,2020,18,19,-78.0716,39.0603,0.6185,94.64,0,0.3425,2.9145,0.478552,1.048,0,""
US-xBL,2020,18,20,-78.0716,39.0603,0.485,96.275,0,0.2355,2.9185,0.478552,1.040485,0,x
US-xBL,2020,18,21,-78.0716,39.0603,0.489,96.545,0,0.219,2.848,0.478552,1.040695,0,""
US-xBL,2020,18,22,-78.0716,39.0603,0.807,96.755,0,0.2105,2.6515,0.478552,1.05864,0,x
US-xBL,2020,19,0,-78.0716,39.0603,0.562,96.75,0.165,0.2075,2.274,0.6344215,1.044825,0,""
US-xBL,2020,19,1,-78.0716,39.0603,0.8655,98.03,1.12,0.1285,2.395,0.790291,1.061945,0,""
US-xBL,2020,19,2,-78.0716,39.0603,1.2965,98.21,1.035,0.12,2.621,0.889958,1.08638,0,""
US-xBL,2020,19,3,-78.0716,39.0603,1.3235,98.19,0.47,0.122,2.7655,0.889958,1.0879,0,x
US-xBL,2020,19,4,-78.0716,39.0603,1.268,98.46,0,0.103,2.8365,0.889958,1.08475,0,""
US-xBL,2020,19,5,-78.0716,39.0603,4.3265,66.175,0,2.826,2.8025,2.58231,1.260755,0,""
US-xBL,2020,19,6,-78.0716,39.0603,4.9775,55.35,0,3.89,2.739,2.58231,1.29871,0,""
US-xBL,2020,19,7,-78.0716,39.0603,3.791,65.575,5.3525,2.7615,2.7615,2.03015,1.22964,0,""
US-xBL,2020,19,8,-78.0716,39.0603,3.751,59.46,155.125,3.2465,2.8495,2.94062,1.22732,0.116793,x
US-xBL,2020,19,9,-78.0716,39.0603,3.744,57.13,157.395,3.4255,3.093,1.521666,1.2269,0.4287965,""
US-xBL,2020,19,10,-78.0716,39.0603,2.942,58.22,100.38,3.154,3.294,6.97766,1.18053,0,""
US-xBL,2020,19,12,-78.0716,39.0603,1.284,52.68,279.91,3.173,3.683,1.0102,1.08565,0.0754539,x
US-xBL,2020,19,13,-78.0716,39.0603,0.92,50.65,453.42,3.223,4.198,0.459839,1.06502,0.605184,""
US-xBL,2020,19,14,-78.0716,39.0603,0.5735,49.16,213.7075,3.237,4.295,2.615225,1.045465,0,""
US-xBL,2020,19,15,-78.0716,39.0603,-0.3665,51.175,53.925,2.907,3.9225,2.1411525,0.992779,0.2503615,""
US-xBL,2020,19,16,-78.0716,39.0603,-0.7665,56.24,33.565,2.529,3.545,0.4794635,0.970521,0.4910575,""
US-xBL,2020,19,17,-78.0716,39.0603,-0.809,51.17,1.4375,2.813,3.285,0.478552,0.968169,0,x
US-xBL,2020,19,18,-78.0716,39.0603,-1.2445,53.95,0,2.569,3.071,0.478552,0.944094,0,x
US-xBL,2020,19,19,-78.0716,39.0603,-1.883,54.545,0,2.4195,2.871,0.478552,0.9090715,0,x
US-xBL,2020,19,20,-78.0716,39.0603,-2.52,54.525,0,2.3085,2.6545,0.478552,0.8744455,0,x
US-xBL,2020,19,21,-78.0716,39.0603,-3.4155,53.63,0,2.203,2.4215,0.950111,0.8264025,0,x
US-xBL,2020,19,22,-78.0716,39.0603,-4.6115,55.34,0,1.9385,2.0835,1.42167,0.7633445,0,""
US-xBL,2020,19,23,-78.0716,39.0603,-5.246,56.085,0,1.816,1.745,1.42167,0.730487,0,""
US-xBL,2020,20,0,-78.0716,39.0603,-5.544,56.98,0,1.7395,1.505,1.40587,0.7152075,0,""
US-xBL,2020,20,1,-78.0716,39.0603,-5.8295,57.605,0,1.677,1.356,1.39244,0.70067,0,x
US-xBL,2020,20,2,-78.0716,39.0603,-6.072,59.455,0,1.574,1.2055,1.361265,0.6883885,0,""
US-xBL,2020,20,3,-78.0716,39.0603,-6.253,59.9,0,1.5355,1.0575,1.34474,0.679268,0,x
US-xBL,2020,20,4,-78.0716,39.0603,-6.45,59.265,0,1.5365,0.927,1.315155,0.6693905,0,x
US-xBL,2020,20,5,-78.0716,39.0603,-6.5515,57.585,0,1.587,0.7865,1.33106,0.6643155,0,x
US-xBL,2020,20,6,-78.0716,39.0603,-6.6895,57.94,0,1.5575,0.6865,1.33106,0.6574395,0,""
US-xBL,2020,20,7,-78.0716,39.0603,-7.0005,59.555,14.3575,1.462,0.5425,1.36083,0.64203,0,""
US-xBL,2020,20,8,-78.0716,39.0603,-5.941,55.92,143.7825,1.7295,0.5245,1.4486447,0.695065,0.364241,""
US-xBL,2020,20,9,-78.0716,39.0603,-4.7945,51.735,327.9775,2.067,0.8095,0.6118567,0.7538615,0.4242975,x
US-xBL,2020,20,10,-78.0716,39.0603,-3.651,47,466.7925,2.4735,1.406,0.56558,0.813863,0.248283,""
US-xBL,2020,20,11,-78.0716,39.0603,-2.6485,42.07,552.1225,2.9135,1.826,1.21818,0.8675125,0,x
US-xBL,2020,20,12,-78.0716,39.0603,-1.956,40.06,578.05,3.173,2.237,1.83875,0.905072,0,x
US-xBL,2020,20,13,-78.0716,39.0603,-0.9915,37.745,516.0075,3.5385,2.827,1.21818,0.958069,0,""
US-xBL,2020,20,14,-78.0716,39.0603,-0.684,37.83,436.5475,3.6135,2.6085,-0.5126715,0.975099,1.48777,x
US-xBL,2020,20,16,-78.0716,39.0603,-1.385,41.13,63.115,3.25,1.967,1.65227,0.936354,0,""
US-xBL,2020,20,17,-78.0716,39.0603,-2.168,44.235,3.9075,2.9065,1.6705,0.478552,0.8935495,0,x
US-xBL,2020,20,18,-78.0716,39.0603,-2.992,47.955,0,2.552,1.252,0.478552,0.8490245,0,""
US-xBL,2020,20,19,-78.0716,39.0603,-3.678,51.67,0,2.2505,0.8295,1.28826,0.8124145,0,""
US-xBL,2020,20,20,-78.0716,39.0603,-4.29,54.875,0,2.007,0.5105,1.27108,0.7801475,0,""
US-xBL,2020,20,21,-78.0716,39.0603,-4.6725,56.88,0,1.8625,0.323,1.277375,0.7601525,0,x
US-xBL,2020,20,22,-78.0716,39.0603,-5.2465,61.375,0,1.598,0.204,1.2673,0.7304605,0,x
US-xBL,2020,20,23,-78.0716,39.0603,-5.1555,62.04,0,1.5805,0.1485,1.245595,0.7351385,0,""
US-xBL,2020,21,0,-78.0716,39.0603,-5.6805,63.085,0,1.4775,0.113,1.228445,0.708267,0,x
US-xBL,2020,21,1,-78.0716,39.0603,-6.144,64.36,0,1.376,0.034,1.216425,0.6847575,0,x
US-xBL,2020,21,2,-78.0716,39.0603,-6.536,65.855,0,1.2795,-0.058,1.20533,0.6651055,0,""
US-xBL,2020,21,3,-78.0716,39.0603,-7.108,67.96,0,1.1485,-0.1535,1.20747,0.6367315,0,x
US-xBL,2020,21,4,-78.0716,39.0603,-7.556,68.51,0,1.091,-0.212,1.20249,0.6148335,0,""
US-xBL,2020,21,5,-78.0716,39.0603,-8.087,71.065,0,0.9615,-0.236,1.20262,0.5891815,0,""
US-xBL,2020,21,6,-78.0716,39.0603,-8.9575,74.645,0,0.789,-0.2455,1.19902,0.5481105,0,""
US-xBL,2020,21,7,-78.0716,39.0603,-9.417,76.965,14.355,0.6895,-0.27,1.20614,0.5266945,0,x
US-xBL,2020,21,8,-78.0716,39.0603,-7.667,72.21,143.705,0.97,-0.2535,0.6371735,0.6101395,0.447217,""
US-xBL,2020,21,9,-78.0716,39.0603,-4.627,58.075,331.6675,1.8205,-0.104,0.2750385,0.7626185,0.51884,""
US-xBL,2020,21,10,-78.0716,39.0603,-3.3905,53.305,470.225,2.223,0.005,0.63941215,0.8277365,0.3750575,x
US-xBL,2020,21,11,-78.0716,39.0603,-2.186,49.77,553.0725,2.6145,0.084,1.528465,0.892561,0,""
US-xBL,2020,21,12,-78.0716,39.0603,-1.453,47.14,577.75,2.904,0.227,1.83875,0.932615,0,x
US-xBL,2020,21,13,-78.0716,39.0603,-0.6885,44.26,518.2925,3.2395,0.833,0.7223765,0.974857,0.3695755,""
US-xBL,2020,21,14,-78.0716,39.0603,-0.125,43.39,436.485,3.428,1.029,-0.253609,1.0062585,1.259866,""
US-xBL,2020,21,15,-78.0716,39.0603,0.152,42.85,244.98,3.531,1.07,1.7899,1.02176,0,x
US-xBL,2020,21,16,-78.0716,39.0603,-0.0345,43.665,110.415,3.4335,0.989,0.3664425,1.011315,0.6448705,x
US-xBL,2020,21,17,-78.0716,39.0603,-1.1495,45.63,5.5375,3.056,0.7825,0.478552,0.949367,0,""
US-xBL,2020,21,18,-78.0716,39.0603,-2.5575,51.375,0,2.465,0.418,0.478552,0.872467,0,""
US-xBL,2020,21,19,-78.0716,39.0603,-3.349,55.12,0,2.1425,0.147,0.835636,0.8299175,0,""
US-xBL,2020,21,20,-78.0716,39.0603,-4.8525,62.54,0,1.6005,0.0295,1.17939,0.7508955,0,""
US-xBL,2020,21,21,-78.0716,39.0603,-5.386,65.265,0,1.426,-0.0545,1.17718,0.723435,0,""
US-xBL,2020,21,22,-78.0716,39.0603,-6.1465,66.765,0,1.284,-0.1265,1.176535,0.6846675,0,""
US-xBL,2020,21,23,-78.0716,39.0603,-6.802,69.975,0,1.102,-0.1955,1.160435,0.6518535,0,x
US-xBL,2020,22,0,-78.0716,39.0603,-6.838,71.08,0,1.0605,-0.2165,1.158395,0.650133,0,""
US-xBL,2020,22,1,-78.0716,39.0603,-8.193,76.31,0,0.782,-0.2215,1.150335,0.584173,0,x
US-xBL,2020,22,2,-78.0716,39.0603,-7.872,74.175,0,0.8755,-0.241,1.151855,0.5996275,0,x
US-xBL,2020,22,3,-78.0716,39.0603,-7.111,70.58,0,1.0545,-0.2835,1.14513,0.6365865,0,""
US-xBL,2020,22,4,-78.0716,39.0603,-8.7165,77.625,0,0.7095,-0.34,1.13874,0.559368,0,""
US-xBL,2020,22,5,-78.0716,39.0603,-9.414,84.57,0,0.4625,-0.392,1.13874,0.5268525,0,x
US-xBL,2020,22,6,-78.0716,39.0603,-9.8945,85.925,0,0.406,-0.443,1.13316,0.50491,0,x
US-xBL,2020,22,7,-78.0716,39.0603,-10.1435,87.745,16.2475,0.347,-0.488,1.22124,0.4936875,0,x
US-xBL,2020,22,8,-78.0716,39.0603,-7.742,81.14,152.81,0.652,-0.4205,-0.027714,0.6063745,0.634088,""
US-xBL,2020,22,9,-78.0716,39.0603,-4.8625,67.74,330.1275,1.3845,-0.169,4.1853235,0.7505395,0.555545,x
US-xBL,2020,22,10,-78.0716,39.0603,-2.609,56.455,466.755,2.2085,-0.0085,0.4080455,0.869816,0.618025,x
US-xBL,2020,22,11,-78.0716,39.0603,-0.3455,45.425,549.9725,3.2605,0.067,2.19471,0.9940365,0,""
US-xBL,2020,22,12,-78.0716,39.0603,1.122,37.85,589.7975,4.123,0.1735,3.62934,1.07649,0,""
US-xBL,2020,22,13,-78.0716,39.0603,2.4685,34.17,512.765,4.8065,0.26,-1.31119,1.153325,2.464515,""
US-xBL,2020,22,14,-78.0716,39.0603,3.345,32.185,439.485,5.27,0.3605,0.6968805,1.20381,0.5069265,x
US-xBL,2020,22,15,-78.0716,39.0603,3.821,28.935,284.33,5.709,0.412,-0.812228,1.231365,2.04359,""
US-xBL,2020,22,16,-78.0716,39.0603,3.4115,30.88,81.5675,5.3965,0.4305,0.882718,1.20765,0.3635535,""
US-xBL,2020,22,17,-78.0716,39.0603,1.605,37.145,4.3325,4.319,0.283,1.043095,1.10396,0,x
US-xBL,2020,22,18,-78.0716,39.0603,0.562,42.305,0,3.674,0.08,0.941421,1.04483,0,x
US-xBL,2020,22,19,-78.0716,39.0603,-1.478,50.31,0,2.7325,-0.0315,0.5980585,0.9313985,0,""
US-xBL,2020,22,20,-78.0716,39.0603,-2.542,54.245,0,2.323,-0.0935,0.478552,0.8733145,0,""
US-xBL,2020,22,21,-78.0716,39.0603,-3.49,59.32,0,1.9225,-0.1435,0.804671,0.822414,0,""
US-xBL,2020,22,22,-78.0716,39.0603,-4.1345,61.905,0,1.7135,-0.1755,1.13079,0.788294,0,x
US-xBL,2020,22,23,-78.0716,39.0603,-5.021,66.47,0,1.4105,-0.1875,1.13079,0.742082,0,x
US-xBL,2020,23,0,-78.0716,39.0603,-5.8575,72.575,0,1.082,-0.19,1.13079,0.6992465,0,""
US-xBL,2020,23,1,-78.0716,39.0603,-6.6435,77.27,0,0.8445,-0.205,1.13079,0.659731,0,x
US-xBL,2020,23,2,-78.0716,39.0603,-6.8605,77.72,0,0.8175,-0.2515,1.13079,0.6491025,0,""
US-xBL,2020,23,3,-78.0716,39.0603,-7.0155,79.67,0,0.7365,-0.3295,1.13079,0.64138,0,""
US-xBL,2020,23,4,-78.0716,39.0603,-7.1415,78.265,0,0.7785,-0.384,1.13079,0.635136,0,x
US-xBL,2020,23,5,-78.0716,39.0603,-6.9315,79.37,0,0.7495,-0.388,1.13079,0.6454395,0,""
US-xBL,2020,23,6,-78.0716,39.0603,-7.6135,84.05,0,0.5505,-0.3515,1.13079,0.612025,0,x
US-xBL,2020,23,7,-78.0716,39.0603,-7.403,86.12,11.595,0.4865,-0.332,1.1548,0.6222685,0,x
US-xBL,2020,23,8,-78.0716,39.0603,-6.144,86.48,91.695,0.5245,-0.244,0.5654563,0.685001,0.3476365,""
US-xBL,2020,23,9,-78.0716,39.0603,-3.959,77.44,197.155,1.028,-0.122,-0.387256,0.797538,1.18479,""
US-xBL,2020,23,10,-78.0716,39.0603,-1.553,63.93,327.215,1.967,-0.007,2.48589,0.927124,0,x
US-xBL,2020,23,11,-78.0716,39.0603,0.8155,54.695,218.73,2.939,0.0695,1.2730595,1.05914,0.0919685,""
US-xBL,2020,23,12,-78.0716,39.0603,2.149,48.695,261.42,3.6635,0.1115,1.857515,1.134995,0.02148415,""
US-xBL,2020,23,13,-78.0716,39.0603,3.6635,43.63,268.705,4.4815,0.166,-0.563705,1.22226,1.785965,""
US-xBL,2020,23,14,-78.0716,39.0603,4.928,37.575,304.9625,5.4225,0.2855,-1.012388,1.29583,2.308215,x
US-xBL,2020,23,15,-78.0716,39.0603,5.6495,32.83,155.5075,6.1325,0.4135,0.9030405,1.33806,0.435021,x
US-xBL,2020,23,16,-78.0716,39.0603,5.2655,31.165,67.4375,6.1235,0.4775,0.4294185,1.31558,0.886166,""
US-xBL,2020,23,17,-78.0716,39.0603,3.4455,36.705,3.2375,4.953,0.4435,1.06433,1.20962,0,""
US-xBL,2020,23,18,-78.0716,39.0603,2.2355,41.425,0,4.2055,0.3445,1.052135,1.139935,0,""
US-xBL,2020,23,19,-78.0716,39.0603,0.621,50.815,0,3.1485,0.292,0.9245755,1.048165,0,""
US-xBL,2020,23,20,-78.0716,39.0603,0.2495,53.395,0,2.9,0.2365,0.8658155,1.02723,0,x
US-xBL,2020,23,21,-78.0716,39.0603,-0.1865,58.21,0,2.5215,0.2295,0.77085,1.0028215,0,x
US-xBL,2020,23,22,-78.0716,39.0603,-0.3305,62.725,0,2.2235,0.2405,0.781085,0.99477,0,x
US-xBL,2020,23,23,-78.0716,39.0603,-0.4805,64.34,0,2.1035,0.287,0.755427,0.986411,0,""
US-xBL,2020,24,0,-78.0716,39.0603,-0.76,65.385,0,2.001,0.292,0.726024,0.970885,0,""
US-xBL,2020,24,1,-78.0716,39.0603,-1.4705,70.525,0,1.619,0.231,0.478552,0.931676,0,""
US-xBL,2020,24,2,-78.0716,39.0603,-2.205,73.84,0,1.359,0.079,0.478552,0.891519,0,""
US-xBL,2020,24,3,-78.0716,39.0603,-2.2095,74.96,0.2025,1.3015,0.1075,0.478552,0.891283,0,x
US-xBL,2020,24,4,-78.0716,39.0603,-1.479,71.76,0.77,1.548,0.1795,0.478552,0.931193,0,x
US-xBL,2020,24,5,-78.0716,39.0603,-1.124,72.89,0.8575,1.5255,0.2875,0.5875865,0.950739,0,""
US-xBL,2020,24,6,-78.0716,39.0603,-0.95,73.36,0.695,1.5185,0.373,0.707093,0.960357,0,""
US-xBL,2020,24,7,-78.0716,39.0603,-0.551,72.54,4.5425,1.612,0.502,0.755427,0.98249,0,x
US-xBL,2020,24,8,-78.0716,39.0603,0.184,71.76,46.5725,1.75,0.6085,1.8635735,1.023595,0.2134545,""
US-xBL,2020,24,9,-78.0716,39.0603,2.0705,68.845,56.55,2.211,0.7615,4.57082,1.13053,0,""
US-xBL,2020,24,10,-78.0716,39.0603,2.9395,67.05,86.41,2.488,0.977,3.72537,1.18039,0,x
US-xBL,2020,24,11,-78.0716,39.0603,3.7415,68.33,174.335,2.5285,1.226,-0.578726,1.22677,1.805495,x
US-xBL,2020,24,12,-78.0716,39.0603,5.21,71.865,154.51,2.49,1.6665,-0.534594,1.312315,1.84691,""
US-xBL,2020,24,13,-78.0716,39.0603,5.442,74.69,67.47,2.2785,1.8845,0.2154005,1.325895,1.110495,x
US-xBL,2020,24,14,-78.0716,39.0603,5.0385,84.635,59.4425,1.3465,1.835,0.9282765,1.30228,0.3740035,x
US-xBL,2020,24,15,-78.0716,39.0603,5.2765,87.255,60.3625,1.1335,1.836,0.7080065,1.3162,0.608195,""
US-xBL,2020,24,16,-78.0716,39.0603,5.564,86.79,28.2125,1.1985,1.8545,1.107195,1.333045,0.22585,x
US-xBL,2020,24,17,-78.0716,39.0603,5.8125,93,2.27,0.6465,1.861,1.3237855,1.347625,0,x
US-xBL,2020,24,18,-78.0716,39.0603,6.575,95.23,0.475,0.4635,1.835,4.011145,1.39247,0,""
US-xBL,2020,24,19,-78.0716,39.0603,7.2325,92.395,0.0625,0.7745,1.8845,2.11604,1.43126,0,x
US-xBL,2020,24,20,-78.0716,39.0603,7.2795,92.065,0.085,0.8105,1.973,2.20541,1.434035,0,""
US-xBL,2020,24,21,-78.0716,39.0603,7.3665,93.495,0.0925,0.6685,2.1125,2.376935,1.439175,0,x
US-xBL,2020,24,22,-78.0716,39.0603,7.5975,92.74,0.25,0.7585,2.294,2.63783,1.45283,0,x
US-xBL,2020,24,23,-78.0716,39.0603,7.5265,94.98,0.2375,0.522,2.64,2.63783,1.448635,0,x
US-xBL,2020,25,0,-78.0716,39.0603,7.512,96.2,0.305,0.395,2.95,2.466305,1.44778,0,x
US-xBL,2020,25,1,-78.0716,39.0603,7.0155,97.89,0.565,0.212,3.372,1.7624,1.418445,0,x
US-xBL,2020,25,2,-78.0716,39.0603,6.802,98.66,0.5,0.1325,3.863,1.582235,1.405845,0,""
US-xBL,2020,25,3,-78.0716,39.0603,6.311,98.555,0.5025,0.138,3.9405,1.33844,1.37693,0,""
US-xBL,2020,25,4,-78.0716,39.0603,5.993,-9999,0.4825,1.828,3.765,1.14747,1.35823,0,x
US-xBL,2020,25,5,-78.0716,39.0603,5.427,-9999,0.5,1.822,3.722,1.14747,1.325015,0,x
US-xBL,2020,25,6,-78.0716,39.0603,5.302,98.59,0.225,0.1255,3.554,1.205375,1.31769,0,""
